Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
10/19/2025,4:00 PM,SIFF Cinema Uptown,DocFest - A Deeper Love: The Story of Miss Peppermint,87,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/DeeperLoveTheStoryofMissPeppermint.jpg,,,
09/29/2025,7:10 PM,SIFF Cinema Uptown,"The Uncertain Detective, Season 4",115,None,https://www.siff.net/images/CINEMA/2025/Rentals/REN_UncertainDetective-Season4_1600x900.jpg,,,
12/10/2025,7:00 PM,SIFF Cinema Uptown,Mountains on Stage - Winter Edition 2025,180,None,https://www.siff.net/images/CINEMA/2025/Rentals/REN_MountainsonStageWinter25_1600x900.jpg,,,
09/19/2025,6:30 PM,SIFF Film Center,Linda Linda Linda: 20th Anniversary (4K Restoration),114,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_LindaLindaLinda_1600x900.jpg,,,
09/21/2025,3:45 PM,SIFF Film Center,Linda Linda Linda: 20th Anniversary (4K Restoration),114,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_LindaLindaLinda_1600x900.jpg,,,
09/21/2025,6:30 PM,SIFF Film Center,Linda Linda Linda: 20th Anniversary (4K Restoration),114,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_LindaLindaLinda_1600x900.jpg,,,
09/22/2025,6:30 PM,SIFF Film Center,Linda Linda Linda: 20th Anniversary (4K Restoration),114,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_LindaLindaLinda_1600x900.jpg,,,
09/20/2025,12:00 PM,SIFF Film Center,Kino Armenia: The Color of Pomegranates,77,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_ColorofPomegranates_1600x900.jpg,,,
10/23/2025,5:00 PM,SIFF Cinema Uptown,DocFest - Sun Ra: Do the Impossible,84,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/SunRaDotheImpossible.jpg,,,
10/18/2025,7:00 PM,SIFF Cinema Uptown,"DocFest: Steal This Story, Please!",101,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/StealThisStoryPlease.jpg,,,
10/22/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: L.A. Confidential (35mm),138,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-LAConfidential_1600x900.jpg,,,
09/20/2025,11:15 AM,SIFF Cinema Downtown,PTA: Hard Eight,102,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-HardEight_1600x900.jpg,,,
09/25/2025,5:00 PM,SIFF Cinema Downtown,PTA: Hard Eight,102,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-HardEight_1600x900.jpg,,,
10/17/2025,7:00 PM,SIFF Cinema Uptown,DocFest: Love+War,96,None,https://www.siff.net/images/CINEMA/2025/DocFest/Key%20Stills/LoveWar.jpg,,,
09/18/2025,7:00 PM,SIFF Film Center,Sans Soleil,103,None,https://www.siff.net/images/CINEMA/2025/Rentals/REN_SansSoleil_1600x900.jpg,,,
10/08/2025,7:30 PM,SIFF Cinema Uptown,L.A. Noir: The Two Jakes,138,None,https://www.siff.net/images/CINEMA/2025/Rentals/Shadows%20in%20Paradise%20LA%20Noir/REN_Shadows-TwoJakes_1600x900.jpg,,,
09/20/2025,2:00 PM,SIFF Cinema Downtown,PTA: Phantom Thread,130,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-PhantomThread_1600x900.jpg,,,
09/21/2025,7:30 PM,SIFF Cinema Downtown,PTA: Phantom Thread,130,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/PTA/CIN_PTA-PhantomThread_1600x900.jpg,,,
10/03/2025,4:20 PM,SIFF Film Center,The Balconettes,104,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/Balconettes.jpg,,,
10/04/2025,4:20 PM,SIFF Film Center,The Balconettes,104,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/Balconettes.jpg,,,
10/04/2025,7:00 PM,SIFF Film Center,The Balconettes,104,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/Balconettes.jpg,,,
10/05/2025,4:20 PM,SIFF Film Center,The Balconettes,104,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/Balconettes.jpg,,,
10/05/2025,7:00 PM,SIFF Film Center,The Balconettes,104,None,https://www.siff.net/images/FESTIVAL/2025/Films/Film%20Detail%20Hero%20Sizes%20-%20Features/Balconettes.jpg,,,
